,open,high,low,close,volume,Symbol,MA_10,MA_50,RSI,MACD,Signal_Line
2024-11-27,169.0,169.4832,168.02,169.23,19266511,GOOGL,171.58599999999998,257.3424,34.94511238891792,-20.39954580693717,-26.389315482892027
2024-11-29,168.5,169.43,167.16,168.95,14257244,GOOGL,170.923,252.5106,36.99501936912008,-19.175727723820643,-24.94659793107775
2024-12-02,168.765,172.075,168.57,171.49,23789084,GOOGL,170.823,247.7718,37.92257360959654,-17.79574799803052,-23.516427944468308
2024-12-03,171.49,172.68,170.85,171.34,22248705,GOOGL,170.427,243.00580000000002,35.54555680539934,-16.523732566166103,-22.117888868807867
2024-12-04,171.145,174.91,171.06,174.37,31615137,GOOGL,170.052,238.1978,43.70990237099026,-15.097125232754763,-20.71373614159725
2024-12-05,175.36,176.06,172.33,172.64,21356243,GOOGL,169.718,233.328,45.711785297549554,-13.945371621304247,-19.360063237538647
2024-12-06,172.03,175.08,171.86,174.71,21462393,GOOGL,170.426,228.658,53.33734215273601,-12.718950739155758,-18.03184073786207
2024-12-09,173.96,176.26,173.65,175.37,25389631,GOOGL,171.48700000000002,224.08540000000002,50.112504018000635,-11.560484797425119,-16.73756954977468
2024-12-10,182.845,186.36,181.05,185.17,54813022,GOOGL,173.23899999999998,219.8308,59.25439747965341,-9.73934498783646,-15.337924637387037
2024-12-11,185.31,195.61,184.85,195.4,67894071,GOOGL,175.86700000000002,215.7442,71.02641836292767,-7.385467986160563,-13.747433307141742
2024-12-12,195.0,195.18,191.71,191.96,34817486,GOOGL,178.14000000000001,211.7328,79.47661739762536,-5.73151343514769,-12.144249332742932
2024-12-13,191.01,192.73,189.64,189.82,25143495,GOOGL,180.227,207.5894,80.90774543660577,-4.541075955748454,-10.623614657344037
2024-12-16,192.87,199.0,192.62,196.66,44934901,GOOGL,182.744,203.75280000000004,82.60283209710042,-3.0110058399143327,-9.101092893858096
2024-12-17,197.25,201.42,194.98,195.42,43504025,GOOGL,185.152,199.889,79.71079981924981,-1.876836879190563,-7.65624169092459
2024-12-18,195.22,197.0,187.74,188.4,34166074,GOOGL,186.555,195.6366,68.73167871799882,-1.5268545096299135,-6.430364254665655
2024-12-19,191.625,193.03,188.38,188.51,32265241,GOOGL,188.142,191.46900000000002,69.17647058823528,-1.2264768182689352,-5.3895867673863105
